Vocabulary,Generalised Spelling
bihari,bihar
bijaan,bhai jaan
bijai,bhai jaan
bikahuva,bikaau
bikao,bikaau
bikari,bhikari
bikau,bikaau
bikawu,bikaau
bikay,bikaau
"bikeega
carry",bikaau carry
biki,bikaau
bikke,bikaau
bikti,bikaau
bilcul,bilkul
bilkulsahi,bilkul sahi
bimari,bimar
bimariyo,bimar
binaa,bina
bindassis,bindas
birodh,virodh
birpurus,veerpurush
biryan,biryani
bis,bs
bishwa,vishwas
biswa,vishwas
biswas,vishwas
bizy,busy
bja,baja
bje,baje
bjenge,bajenge
bjho,bhej
bjne,bhej
bjps,bjp
bkar,bekar
